Team 1,Team 2,Time Left,Team 1 Score,Team 2 Score,Raid Success Rate 1,Raid Success Rate 2,Tackle Success Rate 1,Tackle Success Rate 2,Outcome
Bengaluru Bulls,Gujarat Giants,36,16,3,0.8677691169421771,0.8436122736906547,0.17935949560544817,0.7112785121358823,Team 1 Wins
U Mumba,Gujarat Giants,10,22,32,0.6381248421458755,0.8546484115894688,0.1227910550593817,0.18303496964899602,Team 2 Wins
Puneri Paltan,Bengal Warriors,35,5,50,0.742914225795813,0.9640429176239079,0.4133529442795304,0.29254836647710203,Team 2 Wins
Puneri Paltan,Tamil Thalaivas,1,4,25,0.914170748417041,0.9433248678921698,0.9353467233754095,0.27960121540476446,Team 2 Wins
Gujarat Giants,Dabang Delhi K.C.,21,38,22,0.7580444782595693,0.3470961511454751,0.9410447283602601,0.0006832509650740448,Team 1 Wins
U Mumba,Bengaluru Bulls,12,43,36,0.742076294641834,0.7951091776656504,0.42293904753730827,0.4057316023831271,Team 1 Wins
Telugu Titans,Jaipur Pink Panthers,11,42,19,0.7870311374809965,0.9466262404755025,0.47950399837808233,0.03510720405063583,Team 1 Wins
Bengaluru Bulls,Dabang Delhi K.C.,34,39,7,0.4923927210377754,0.8803287216395044,0.4008108232143617,0.029024669726683938,Team 1 Wins
Bengal Warriors,Bengaluru Bulls,14,46,15,0.8080722088896235,0.7773137609852296,0.2944667083821393,0.96825055256783,Team 1 Wins
Tamil Thalaivas,Bengal Warriors,33,3,42,0.5206822023512562,0.49760967314988314,0.7855184580857318,0.31896153518023274,Team 2 Wins
Dabang Delhi K.C.,U Mumba,9,48,16,0.019870466584508528,0.4269379349190544,0.7410863687353397,0.3043140718470566,Team 1 Wins
Bengal Warriors,Telugu Titans,14,40,3,0.7734065391514603,0.5817902670364876,0.5310264613467721,0.18387351362859006,Team 1 Wins
Bengaluru Bulls,U.P. Yoddhas,37,36,34,0.06994318851162751,0.821367945291809,0.47180946411454927,0.2558754644136476,Team 1 Wins
U.P. Yoddhas,Gujarat Giants,13,22,46,0.29588859813366375,0.26253084912907265,0.39294300384826175,0.14287995400015374,Team 2 Wins
Patna Pirates,Bengal Warriors,18,7,50,0.5622788167918463,0.28829749245919656,0.12168256943674693,0.3318366827162069,Team 2 Wins
Bengaluru Bulls,U.P. Yoddhas,2,49,36,0.7206865121986858,0.6117643451430388,0.2836527537498932,0.564570084283518,Team 1 Wins
Puneri Paltan,Bengaluru Bulls,16,10,16,0.4623327131699586,0.48476653340727927,0.9170883384392162,0.9040959669207953,Team 2 Wins
Dabang Delhi K.C.,U.P. Yoddhas,32,44,50,0.0807278362032704,0.7529529449505761,0.5826811243736566,0.8187679194650578,Team 2 Wins
Dabang Delhi K.C.,Jaipur Pink Panthers,21,12,11,0.6609275559705801,0.6975103677451759,0.23580734660421754,0.2630623234102324,Team 1 Wins
Patna Pirates,Puneri Paltan,20,3,8,0.12031175444121245,0.6827644046396771,0.3542547786534044,0.8172538715382607,Team 2 Wins
Telugu Titans,Bengaluru Bulls,19,29,28,0.0857722792579596,0.7931612051801648,0.00896250363899287,0.0525006582715537,Team 1 Wins
Gujarat Giants,Telugu Titans,16,42,12,0.6406457956838754,0.9127011227159679,0.16042825975929098,0.635269300244422,Team 1 Wins
Puneri Paltan,Jaipur Pink Panthers,27,30,29,0.7110995205804763,0.01174053168645639,0.5522783569436029,0.22508543780201373,Team 1 Wins
U.P. Yoddhas,Haryana Steelers,9,41,7,0.09888369899478189,0.5732831071242901,0.5307654160531555,0.04412734823384534,Team 1 Wins
Telugu Titans,Tamil Thalaivas,19,17,32,0.6874708176905567,0.4970432731634322,0.650232052800048,0.923160020635267,Team 2 Wins
Jaipur Pink Panthers,Telugu Titans,35,12,21,0.9537937260911549,0.7846548693526522,0.34058602407106553,0.5489221400937843,Team 2 Wins
Telugu Titans,U.P. Yoddhas,29,0,21,0.7495073869064083,0.1346885309273027,0.5727070300189845,0.4663593960840493,Team 2 Wins
U.P. Yoddhas,Dabang Delhi K.C.,36,1,30,0.7024328741406948,0.4833864757843561,0.7274626139658696,0.8795991196354013,Team 2 Wins
Dabang Delhi K.C.,Telugu Titans,12,47,37,0.22691386613194842,0.6935351903211693,0.39074404120627215,0.21791984826680355,Team 1 Wins
Dabang Delhi K.C.,Gujarat Giants,17,38,15,0.1812477916292189,0.2852064321952029,0.029611607744014723,0.920481714288265,Team 1 Wins
U.P. Yoddhas,Bengal Warriors,10,38,7,0.40809453142307484,0.12288627590014123,0.9024695457742336,0.2920145806206922,Team 1 Wins
U.P. Yoddhas,Bengal Warriors,35,35,50,0.025968641807468273,0.5485775944961675,0.7203249714584478,0.03812659624199699,Team 2 Wins
Haryana Steelers,U Mumba,25,3,15,0.3869028232320967,0.2610243430181419,0.23603317489293563,0.06724043803377411,Team 2 Wins
Haryana Steelers,Tamil Thalaivas,38,35,13,0.6386337417738225,0.9360232178390252,0.4220202610443369,0.8957871161966203,Team 1 Wins
U Mumba,U.P. Yoddhas,32,31,17,0.03788779034191536,0.8122014916989797,0.7897480920215403,0.7813652699935164,Team 1 Wins
Patna Pirates,Bengal Warriors,20,19,21,0.10432039850361119,0.599667212690938,0.5786622266099734,0.11169844395211104,Team 2 Wins
Dabang Delhi K.C.,Tamil Thalaivas,40,1,14,0.4162786760178876,0.3291594176465724,0.8162471935321326,0.19718879518161125,Team 2 Wins
U Mumba,Puneri Paltan,12,17,22,0.7150536971617314,0.15870444688151897,0.34785247553883436,0.2812549989182591,Team 2 Wins
Haryana Steelers,Telugu Titans,2,25,29,0.15981117813011714,0.1622329295384599,0.8360354955245033,0.5978306889443845,Team 2 Wins
Puneri Paltan,Jaipur Pink Panthers,10,32,43,0.8678667979983106,0.7406018655880479,0.6346108026323273,0.9304478180249549,Team 2 Wins
Patna Pirates,Tamil Thalaivas,20,46,38,0.6441060317101812,0.9715439186509763,0.6217530865675064,0.825285801894393,Team 1 Wins
Tamil Thalaivas,Patna Pirates,13,0,7,0.9469549219226637,0.42754680297590086,0.5100899507726536,0.6284349373807699,Team 2 Wins
Dabang Delhi K.C.,Bengaluru Bulls,23,41,34,0.45921227399827036,0.7876017647626626,0.9248816319792201,0.5212327590146418,Team 1 Wins
Patna Pirates,U.P. Yoddhas,40,37,48,0.9326618372612612,0.5971750916281728,0.7612731199327412,0.2296305880081715,Team 2 Wins
U Mumba,Dabang Delhi K.C.,4,10,4,0.4592862733667117,0.22626672601060094,0.7330965235575667,0.6763645507756199,Team 1 Wins
Patna Pirates,Puneri Paltan,22,44,17,0.9896728461881449,0.12882238900668364,0.783931080158996,0.5990724904842132,Team 1 Wins
Dabang Delhi K.C.,Jaipur Pink Panthers,32,42,43,0.6338953076181482,0.7611383737856776,0.11598175881276174,0.8334137942027295,Team 2 Wins
Bengaluru Bulls,U Mumba,25,24,50,0.15630262209556356,0.70081615830692,0.9677049522773422,0.9779683555931399,Team 2 Wins
